yr,blk,ag01,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12
"23","G","153407",0,80395170,0,0,0,0,0,0,0,0,0,0
"23","G","153408",142829040,76356870,0,0,0,0,0,0,0,842920,0,0
"23","G","153409",274967250,13026525,91169244,1012226,7368320,0,0,0,300000,0,51375384,0
"23","G","153417",0,25069000,0,0,0,0,21032000,2880000,0,306000,0,0
"23","G","153420",0,0,0,0,0,0,0,0,0,177000,0,0
"23","G","153421",47191972,719949,0,0,0,0,-923610,0,0,423386,0,0
"23","G","153422",0,3784430,0,0,0,0,0,0,0,178152,0,0
"23","G","153431",116857000,13673000,0,18285000,1210500,0,-45639000,51200000,0,2510000,13450000,0
"23","G","153438",0,25629539,0,0,0,0,5597838,0,0,5378786,0,0
"23","G","153453",42185000,278429000,0,0,12942000,0,35309000,5763000,0,426000,137968000,0
"23","G","153456",0,10640426,0,0,2996185,0,973234,0,0,256242,52932595,0
"23","G","153458",0,41067,0,0,0,0,0,0,0,2221929,0,0
"23","G","153459",9975391,0,0,0,0,0,0,0,0,0,0,0
"23","G","153460",3484000,5476000,0,0,3480000,0,-3156000,0,0,80000,38280000,0
"23","G","153472",7380950,0,0,0,0,0,0,0,0,0,0,0
"23","G","153476",11465446,251733723,0,17620446,2855868,0,52152826,0,0,17555599,37626720,0
"23","G","153478",117250400,0,40462029,0,2911911,0,0,0,0,27048,13130895,0
"23","G","153482",0,73760,0,0,0,0,7386900,0,0,217340,0,0
"23","G","153483",24488226,31907034,0,0,0,0,0,0,0,0,0,0
"23","G","153484",297260,43578350,0,0,0,0,8300050,0,0,0,0,0
"23","G","153486",404030153,0,0,0,0,0,0,0,0,0,0,0
"23","G","153493",3297130,1173620,0,0,65799460,0,0,151200,0,1932080,331457850,0
"23","G","153501",26108400,151432,0,0,0,0,0,19968300,0,1257001,0,0
"23","G","153503",342038092,0,0,0,0,0,0,0,0,52447,0,0
"23","G","153504",0,10116623,0,0,0,0,-26453259,0,0,0,0,0
"23","G","153513",68640,31790003,0,0,0,0,-4119986,0,0,44870,0,0
"23","G","153514",0,5784000,0,0,0,0,0,0,0,34000,0,0
"23","G","153516",0,123531388,0,0,880204,0,17058774,0,0,18266579,13667760,0
"23","G","153518",151320000,29792000,0,0,262097200,0,-110318300,0,0,1668000,2883069200,0
"23","G","153521",254102892,39152,0,0,0,0,0,0,0,350422,0,0
"23","G","153523",0,20528074,0,0,0,0,53103,0,0,1968701,0,0
"23","G","153527",0,32249730,0,0,0,0,6425000,0,0,0,0,0
"23","G","153528",190431375,39204,0,0,0,0,0,0,0,46368,0,0
"23","G","153529",16325369,9461753,0,0,0,0,-17932869,0,0,62629,0,0
"23","G","153531",7316546,3491231,0,0,41789,0,0,0,0,56783,271018,0
"23","G","153534",1178814,153993896,0,0,0,0,-111714000,0,0,11704416,0,0
"23","G","153542",115039000,97442000,0,0,1809000,0,-46526000,0,0,109000,17679000,0
"23","G","153543",7044071,217723,0,0,0,0,10263949,0,0,3178788,0,0
"23","G","153547",61715155,20549974,0,0,0,0,-24282360,0,0,81026,0,0
"23","G","153549",53400000,4193000,0,0,2679550,0,2062000,0,0,139000,53591000,0
"23","G","153550",2678340,103427815,0,0,0,0,40146927,0,0,821675,0,0
"23","G","153554",180800,332800,0,0,0,0,0,137200,0,43600,0,0
"23","G","153559",255190762,0,0,0,0,0,0,0,0,228070,0,0
"23","G","153561",0,49104494,0,0,0,0,0,0,0,0,0,0
"23","G","153564",527042061,2356,0,0,0,0,0,0,0,267780,0,0
"23","G","153570",21645159,0,0,0,0,0,197912,0,0,0,0,0
"23","G","153572",160968,11212031,0,0,0,0,0,0,0,6111251,0,0
"23","G","153573",0,17941748,0,0,60632,0,-12323529,17587509,0,239748,553686,0
