yr,blk,ai01,i_i1,i_i3,i_i4,i_i5,i_i6,i_i7
"23","I","100548",7,"9994000",0,0.00,21912250,0.00
"23","I","100550",1,"4153499",27,32.37,24874687,768448.78
"23","I","100550",7,"9994000",0,0.00,24874687,0.00
"23","I","100552",1,"3924001",27,3640.11,80843225,22208.98
"23","I","100552",7,"9994000",0,0.00,80843225,0.00
"23","I","100560",1,"3924001",27,1743.24,32633483,18720.02
"23","I","100560",7,"9994000",0,0.00,32633483,0.00
"23","I","100575",1,"3211100",9,3462655.00,214684615,62.00
"23","I","100575",7,"9994000",0,0.00,214684615,0.00
"23","I","100577",1,"3479002",27,8176.00,1246577282,152467.87
"23","I","100577",2,"3213399",27,34746.00,1864818941,53670.03
"23","I","100577",7,"9994000",0,0.00,3111396223,0.00
"23","I","100593",1,"3549001",9,157477.67,50666865,321.74
"23","I","100593",2,"3471005",27,170.00,21458235,126224.91
"23","I","100593",3,"3425099",27,113.00,6645852,58812.85
"23","I","100593",7,"9994000",0,0.00,78770952,0.00
"23","I","100604",1,"2153500",27,4230.52,417514084,98690.94
"23","I","100604",2,"3414014",9,208937.00,29055584,139.06
"23","I","100604",7,"9994000",0,0.00,446569668,0.00
"23","I","100608",1,"2321010",27,1260.39,150171657,119147.04
"23","I","100608",9,"3532317",9,24192.40,16281726,673.01
"23","I","100608",2,"3525005",9,298542.00,148949062,498.92
"23","I","100608",3,"3424071",9,321439.00,77331879,240.58
"23","I","100608",4,"3416033",27,228.00,70174948,307784.86
"23","I","100608",5,"3422019",9,222200.00,52412542,235.88
"23","I","100608",8,"3422022",27,41.00,16533276,403250.63
"23","I","100608",6,"9922100",0,0.00,11718456,0.00
"23","I","100608",7,"9994000",0,0.00,543573546,0.00
"23","I","100609",1,"3425010",9,475128.00,136431270,287.15
"23","I","100609",6,"9922100",0,0.00,9065945,0.00
"23","I","100609",7,"9994000",0,0.00,145497215,0.00
"23","I","100612",1,"3457001",9,84690.00,9299599,109.81
"23","I","100612",7,"9994000",0,0.00,9299599,0.00
"23","I","100613",9,"3413920",27,6394.59,363616790,56863.17
"23","I","100613",1,"3411066",9,277907.83,34491141,124.11
"23","I","100613",2,"3413905",9,9786.45,26946392,2753.44
"23","I","100613",3,"3424074",27,15380.92,406185520,26408.40
"23","I","100613",4,"3532101",27,35602.68,487034286,13679.71
"23","I","100613",8,"3543005",9,229016.00,73416665,320.57
"23","I","100613",5,"3532341",9,144370.00,197146868,1365.57
"23","I","100613",6,"9922100",0,0.00,150442460,0.00
"23","I","100613",7,"9994000",0,0.00,1739280122,0.00
"23","I","100614",1,"3532102",27,3519.00,298714973,84886.32
"23","I","100614",2,"3532340",9,19581.00,128020702,6538.01
"23","I","100614",7,"9994000",0,0.00,426735675,0.00
"23","I","100615",1,"3415099",9,47018.00,119165788,2534.47
"23","I","100615",6,"9922100",0,0.00,10362242,0.00
"23","I","100615",7,"9994000",0,0.00,129528030,0.00
"23","I","100618",1,"3412099",27,9079.00,931673088,102618.47
"23","I","100618",2,"3414014",9,2963263.00,325515565,109.85
"23","I","100618",3,"3413924",9,780260.00,41879282,53.67
"23","I","100618",7,"9994000",0,0.00,1299067935,0.00
"23","I","100620",3,"3425021",27,17.71,2889339,163128.71
"23","I","100620",1,"3532199",9,202774.00,24666063,121.64
"23","I","100620",2,"3412001",9,47283.00,8754287,185.15
"23","I","100620",4,"3532302",27,192.44,28785825,149583.38
"23","I","100620",5,"3414014",9,190999.00,25896486,135.58
"23","I","100620",7,"9994000",0,0.00,90992000,0.00
"23","I","100627",1,"3527055",9,59141.00,24559476,415.27
"23","I","100627",7,"9994000",0,0.00,24559476,0.00
"23","I","100641",3,"3413943",9,62269.23,11070847,177.79
"23","I","100641",1,"3414023",9,594540.00,132343203,222.60
"23","I","100641",2,"3511067",12,129580.00,44048540,339.93
"23","I","100641",4,"3511030",27,2.70,1301135,481901.85
"23","I","100641",5,"3533203",9,870.00,792762,911.22
"23","I","100641",8,"3425024",9,5404.00,7613352,1408.84
"23","I","100641",6,"9922100",0,0.00,3443690,0.00
"23","I","100641",7,"9994000",0,0.00,200613529,0.00
"23","I","100642",1,"3549001",9,707050.00,459581462,650.00
"23","I","100642",2,"3425021",27,1088.00,113540403,104356.99
"23","I","100642",7,"9994000",0,0.00,573121865,0.00
"23","I","100643",1,"3414059",9,1589930.00,561245852,353.00
"23","I","100643",2,"3414065",27,65.00,18012654,277117.75
"23","I","100643",3,"3413944",9,808332.00,565024400,699.00
"23","I","100643",7,"9994000",0,0.00,1144282906,0.00
"23","I","100644",3,"3549099",27,107.68,26075262,242151.46
"23","I","100644",1,"3413944",9,1030365.00,249651425,242.29
"23","I","100644",2,"3414065",27,144.00,45258523,314295.30
"23","I","100644",7,"9994000",0,0.00,320985210,0.00
"23","I","100645",1,"3413944",9,1841848.00,469671393,255.00
"23","I","100645",2,"3414065",27,4965.00,345207485,69528.19
"23","I","100645",3,"3549099",27,464.00,145854125,314340.79
"23","I","100645",7,"9994000",0,0.00,960733003,0.00
"23","I","100646",1,"3425024",9,358588.00,233440707,651.00
"23","I","100646",7,"9994000",0,0.00,233440707,0.00
"23","I","100649",1,"3474008",9,60000.00,11315901,188.60
"23","I","100649",2,"3474007",9,36100.00,7694579,213.15
"23","I","100649",3,"3543003",12,47400.00,9340230,197.05
"23","I","100649",7,"9994000",0,0.00,28350710,0.00
"23","I","100653",8,"3529023",9,0.25,1452748,5910547.31
"23","I","100653",9,"3411002",9,7397.17,1522485,205.82
"23","I","100653",1,"3529003",9,343.40,2295745,6685.33
"23","I","100653",3,"3417002",9,6127.49,457540,74.67
"23","I","100653",4,"3212904",15,16281.18,1315845,80.82
"23","I","100653",2,"2160000",27,25.00,3925040,157001.60
"23","I","100653",5,"3527045",9,19.00,11250788,592146.74
"23","I","100653",6,"9922100",0,0.00,416770,0.00
"23","I","100653",7,"9994000",0,0.00,22636961,0.00
"23","I","100654",1,"3414053",27,437.46,221853131,507135.07
"23","I","100654",2,"3527099",9,810.43,6033308,7444.60
"23","I","100654",3,"3424031",9,8230.00,75799302,9210.12
"23","I","100654",7,"9994000",0,0.00,303685741,0.00
"23","I","100655",5,"3526012",9,60390.02,14707990,243.55
"23","I","100655",8,"4812100",15,38778405.93,1551136237,40.00
"23","I","100655",9,"3425099",27,913.86,147338800,161227.36
"23","I","100655",1,"3526090",9,100872.00,1642902907,16287.01
"23","I","100655",2,"3526011",9,17811.00,539804267,30307.35
"23","I","100655",3,"3526073",9,286530.00,754953649,2634.82
"23","I","100655",4,"3526060",9,1020.00,9241594,9060.39
"23","I","100655",6,"9922100",0,0.00,42097556,0.00
"23","I","100655",7,"9994000",0,0.00,4702183000,0.00
"23","I","100656",1,"3411066",9,1001077.26,124243699,124.11
"23","I","100656",3,"3424058",27,4.00,2416000,604124.70
"23","I","100656",8,"3525094",9,142.87,62248,435.69
"23","I","100656",19,"3526099",9,5421.18,25238561,4655.55
"23","I","100656",21,"3525005",9,2.49,2550,1024.44
"23","I","100656",2,"3424020",9,52500.00,3627750,69.10
"23","I","100656",4,"3525010",9,660.00,18472964,27989.34
"23","I","100656",5,"3525025",9,300.00,2588354,8627.85
"23","I","100656",9,"3526011",9,15995.00,210631126,13168.56
"23","I","100656",10,"3526015",9,6500.00,97645340,15022.36
"23","I","100656",11,"3526044",9,22800.00,108490836,4758.37
"23","I","100656",12,"3526046",9,725.00,29539783,40744.53
"23","I","100656",13,"3526014",9,706.00,50663299,71761.05
"23","I","100656",14,"3526049",9,1200.00,11636800,9697.33
"23","I","100656",15,"3527046",9,7000.00,93772084,13396.01
"23","I","100656",16,"3541099",9,82102.00,50916866,620.17
"23","I","100656",17,"3526072",9,499.00,702622,1408.06
"23","I","100656",18,"3526084",9,78.00,614687,7880.60
"23","I","100656",20,"3526083",9,6771.00,234697313,34662.13
"23","I","100656",7,"9994000",0,0.00,1065962882,0.00
"23","I","100660",1,"3424045",27,341.48,38886855,113877.89
"23","I","100660",7,"9994000",0,0.00,38886855,0.00
"23","I","100665",1,"3525064",9,985.00,9522354,9667.36
"23","I","100665",7,"9994000",0,0.00,9522354,0.00
"23","I","100666",4,"3526015",9,2740.00,62854782,22939.71
"23","I","100666",5,"3526035",9,48916.06,80125485,1638.02
"23","I","100666",10,"3527042",9,2528.11,30481243,12056.93
"23","I","100666",11,"3424018",27,100.83,32351145,320832.84
"23","I","100666",1,"2321008",9,1609322.00,471531245,293.00
